7 Wonders,Tabletop,10,100,25,35,Drafting,2,7
Android Netrunner,Tabletop,14,100,35,55,Living Card,2,2
Balderdash,Tabletop,12,100,55,65,Party,2,6
Boggle,Tabletop,8,100,3,10,Word,1,8
Candy Land,Tabletop,3,6,20,35,Racing,2,4
Clue,Tabletop,8,100,35,55,Deduction,3,6
Dominion,Tabletop,10,100,30,50,Deck Building,2,5
Dweebies,Tabletop,5,14,15,25,Pattern,2,6
Flinch,Tabletop,6,100,15,25,Drafting,1,8
Fluxx,Tabletop,8,100,10,20,Hand Management,2,6
Forbidden Desert,Tabletop,10,100,40,50,Co-op,2,5
Forbidden Island,Tabletop,10,100,25,35,Co-op,2,4
Iota,Tabletop,8,100,25,35,Pattern,2,4
Killer Bunnies,Tabletop,12,100,80,110,Hand Management,2,8
Mille Bornes,Tabletop,8,100,40,50,Racing,2,6
Monopoly,Tabletop,8,100,180,180,Economic,2,8
Monopoly Deal,Tabletop,8,100,10,20,Economic,2,5
Mouse Trap,Tabletop,5,10,25,35,Action,2,4
Munchkin,Tabletop,12,100,90,100,Fighting,3,6
Pandemic,Tabletop,8,100,35,55,Co-op,2,4
Risk,Tabletop,10,100,110,130,Territory,2,6
Scattegories,Tabletop,12,100,10,15,Word,2,6
Sentinels of the Multiverse,Tabletop,10,100,55,65,Co-op,1,5
Set,Tabletop,6,100,25,30,Pattern,1,20
Small World,Tabletop,8,100,75,85,Territory,2,5
Super Scrabble,Tabletop,8,100,50,70,Word,2,4
Superfight,Tabletop,6,100,20,40,Storytelling,3,10
The Game of Life,Tabletop,6,12,50,70,Economic,2,6
The Game of Things,Tabletop,10,100,40,50,Party,4,15
The Settlers of Catan,Tabletop,10,100,80,100,Civilization,3,4
Uno,Tabletop,6,100,25,30,Hand Management,2,10
Hyrule Warriors,Video,13,100,25,60,Action,1,2
MarioKart 8,Video,6,100,3,60,Racing,1,4
MarioKart: Double Dash,Video,6,100,3,60,Racing,1,4
Nintendo Land,Video,8,100,10,60,Party,1,5
Super Mario 3D World,Video,6,100,10,60,Platform,1,4
Super Smash Brothers: WiiU,Video,11,100,3,60,Fighting,1,8
